year,reefName,dhw
1986,Exit Reef (12-089),0.65
1986,Waight Bank (12-091),0.66
1986,U/N Reef (12-092),1.45
1986,Bunker Reef (12-093),1.48
1986,Long Sandy Reef (12-094),1.45
1986,U/N Reef (12-095),1.25
1986,Sunk Reef (12-122),0.64
1986,U/N Reef (12-123),0.62
1986,U/N Reef (12-124),0.8
1986,Rocky Island Reef (12-125),0.8
1986,Frederick Patches (12-126),0.79
1986,U/N Reef (12-127),0.62
1986,Chapman Reef (12-129),0.79
1986,U/N Reef (12-130),0.81
1986,U/N Reef (12-131),0.96
1986,Allen Reef (12-132),0.96
1986,U/N Reef (12-133),0.97
1986,U/N Reef (12-134),0.65
1986,U/N Reef (12-135),0.65
1986,Hammond Reef (12-136),0.96
1986,U/N Reef (12-137),0.83
1986,U/N Reef (12-138),1.28
1986,U/N Reef (12-139),1.16
1986,U/N Reef (12-141),0.83
1986,Curd Reef (12-102),1.01
1986,U/N Reef (12-103),0.6
1986,Log Reef (North) (12-104),0.6
1986,Burke Reef (12-105),0.82
1986,Tannadice Shoal (12-106),0.66
1986,Log Reef (South) (12-107),0.3
1986,U/N Reef (12-108),0.3
1986,U/N Reef (12-109),0.3
1986,U/N Reef (12-110),0.29
1986,First Small Reef (12-111),0.29
1986,Ape Reef (12-112),0.78
1986,U/N Reef (12-113),0.43
1986,U/N Reef (12-114),0.15
1986,Zenith Reef (12-115),0.63
1986,U/N Reef (12-116),0.15
1986,Bligh Reef (12-118),0.45
1986,Wye Reef (12-119),0.64
1986,Lansdown Reef (12-120),0.65
1986,U/N Reef (12-121),0.6
1986,Throne Shoals (13-036),2
1986,U/N Reef (13-037),0.99
1986,U/N Reef (13-038),2.17
1986,U/N Reef (13-040),0.99
1986,Celebration Reef (13-041),2.17
1986,U/N Reef (12-142),1.01
1986,Cat Reef (12-143),0.83
1986,U/N Reef (12-144),1.28
1986,Sherrard Reef (12-145),1.3
1986,U/N Reef (12-146),1.16
1986,U/N Reef (12-148),1.16
1986,U/N Reef (12-149),1.45
1986,U/N Reef (12-150),2.69
1986,U/N Reef (12-151),2.54
1986,U/N Reef (12-152),2.54
1986,U/N Reef (12-038c),2.72
1986,U/N Reef (12-154),2.55
1986,U/N Reef (13-001),1.19
1986,Derry Reef (13-002),0.98
1986,Wasp Reef (13-004),1.63
1986,Ham Reef (13-005),0.98
1986,Osborne Reef (13-006),1.63
1986,U/N Reef (13-007),1.63
1986,MacNamara Patch (13-008),1.85
1986,Wilsen Shoal (13-009),1.02
1986,U/N Reef (13-010a),1.02
1986,U/N Reef (13-010b),1.02
1986,U/N Reef (13-011),1.05
1986,Stork Reef (13-012),1.83
1986,U/N Reef (13-013),1.84
1986,U/N Reef (13-014),1.69
1986,Franklin Reef (13-015),1.02
1986,U/N Reef (13-016a),0.98
1986,U/N Reef (13-016b),0.98
1986,U/N Reef (13-017a),0.98
1986,U/N Reef (13-017b),0.98
1986,U/N Reef (13-017c),0.98
1986,U/N Reef (13-019),1.87
1986,Sykes Reef (13-020),1.87
1986,Colclough Reef (13-021),1.71
1986,New Reef (13-022),2.02
1986,Dart Shoal (13-023),1.71
1986,Glennie Reef (13-024),2.03
1986,Waterwitch Reef (13-025),2.03
1986,Gertrude Reef (13-026),2.02
1986,Jubilee Reef (13-027),1.82
1986,Tijou Reef (13-028),0.97
1986,U/N Reef (13-029),1.86
1986,U/N Reef (13-030),1.88
1986,Night Reef (13-031),1.88
1986,Diamond Reign Reefs (13-032),2.17
1986,U/N Reef (13-033),1.02
1986,Binstead Reef (13-034),1.87
1986,U/N Reef (13-035),1.34
1986,Hedley Reef (17-014),0
1986,Jackson Patches (17-015),0
1986,Virginia Chadwick Reef (18-016),0
1986,Reg Ward Reef (18-017),0
1986,Otter Reef (18-018),0.17
1986,Undine Reef (West) (16-020a),0.31
1986,Undine Reef (East) (16-020b),0.48
1986,U/N Reef (16-022a),0.15
1986,U/N Reef (16-022b),0.15
1986,Rudder Reef (16-023),0.16
1986,Chinaman Reef (16-024),0.47
1986,Moore Reef (16-071),0
1986,North West Reef (16-072),0
1986,Elford Reef (16-073),0
1986,Briggs Reef (16-074),0
1986,Channel Reef (16-075),0
1986,U/N Reef (16-076),0
1986,McCulloch Reef (No 1) (17-016a),0
1986,McCulloch Reef (No 2) (17-016b),0
1986,Gibson Reef (17-017),0
1986,Howie Reef (17-018a),0
1986,Barnett Patches (18-019),0
1986,Duncan Reef (18-020),0
1986,U/N Reef (18-021),0
1986,U/N Reef (18-022),0
1986,Opal Reef (16-025),0.5
1986,Tongue Reef (16-026),0.16
1986,U/N Reef (16-027),0.15
1986,Low Islands Reef (16-028),0
1986,U/N Reef (16-077),0
1986,U/N Reef (16-078),0
1986,Outer Shoal (16-079),0
1986,Korea Reef (16-080),0
1986,Yule Reef (16-081),0
1986,Garioch Reef (16-082),0
1986,U/N Reef (16-083),0
1986,U/N Reef (16-084),0
1986,Arthur Patches (17-018b),0
1986,U/N Reef (17-020a),0
1986,U/N Reef (17-020b),0
1986,U/N Reef (17-021a),0
1986,U/N Reef (17-021b),0
1986,Cayley Reef (17-023),0
1986,U/N Reef (18-023),0
1986,Britomart Reef (18-024),0.16
1986,U/N Reef (18-025),0.15
1986,Batt Reef (16-029),0.14
1986,Norman Reef (16-030),0.47
1986,Satellite Reef (16-031),0
1986,Saxon Reef (16-032),0.16
1986,Linden Bank (16-033),0.5
1986,Spur Reef (16-034),0.48
1986,U/N Reef (16-085),0
1986,U/N Reef (16-086),0
1986,U/N Reef (16-087),0
1986,U/N Reef (16-088),0
1986,Peart Reef (17-024),0
1986,U/N Reef (17-025),0
1986,U/N Reef (17-026),0
1986,Raaf Shoals (17-027),0
1986,Publican Shoals (North) (17-028),0
