reefName,year,sst
U/N Reef (11-203),1981,29.0187163035075
U/N Reef (11-204),1981,29.0158796599417
U/N Reef (11-205),1981,28.9935702347174
U/N Reef (11-206),1981,28.9714991251628
U/N Reef (11-207),1981,29.0016715185983
U/N Reef (11-208a),1981,29.0158796599417
U/N Reef (11-208b),1981,29.0158796599417
U/N Reef (11-209),1981,29.010517889215
U/N Reef (11-210a),1981,29.010517889215
U/N Reef (11-210b),1981,29.010517889215
Pearson Reef (11-211),1981,29.0317992598922
Jukes Reef (11-212),1981,29.0310209819249
U/N Reef (11-213),1981,29.0491889247188
Bowles Reef (11-214),1981,29.0524627291967
U/N Reef (11-215),1981,29.0354260444641
U/N Reef (11-216),1981,29.0552437360897
U/N Reef (11-263),1981,28.9878910728123
U/N Reef (11-264),1981,29.0588029225667
U/N Reef (11-217),1981,29.0557861183629
U/N Reef (11-218),1981,29.0278521219889
U/N Reef (11-219),1981,29.027013080876
U/N Reef (11-220),1981,29.0304662462265
U/N Reef (11-221),1981,29.0306652503285
Salamander Reef (11-222b),1981,29.0579339738876
Raine Reef (11-243),1981,28.9797885627077
Great Detached Reef (No 1) (11-244a),1981,29.0239630153037
Great Detached Reef (No 2) (11-244b),1981,29.026690315782
Great Detached Reef (No 3) (11-244c),1981,29.0276650905609
Great Detached Reef (No 4) (11-244d),1981,29.0276650905609
U/N Reef (11-245),1981,28.9714991251628
Passage Reef (11-246),1981,29.1355272928874
U/N Reef (11-247),1981,29.1330151606088
U/N Reef (11-248),1981,29.1385335664491
U/N Reef (11-249),1981,29.0967329519766
U/N Reef (11-250),1981,29.0867856653725
U/N Reef (11-251),1981,29.0854888439178
U/N Reef (11-252),1981,29.0655627539664
U/N Reef (11-253),1981,29.0307776268492
U/N Reef (11-254),1981,29.0102600982224
U/N Reef (11-255),1981,29.0509845451072
U/N Reef (11-256),1981,29.0524627291967
U/N Reef (11-257),1981,29.0302779542075
U/N Reef (11-258),1981,29.0321459977523
U/N Reef (11-259),1981,29.0321459977523
U/N Reef (11-260),1981,29.0579339738876
U/N Reef (11-261),1981,29.0588029225667
U/N Reef (11-262),1981,29.0222281056938
Devlin Reef (11-229a),1981,29.0432589848836
U/N Reef (11-229b),1981,29.0563979399832
U/N Reef (11-230),1981,29.0563979399832
U/N Reef (11-231),1981,29.0563979399832
Five Reefs (11-232),1981,29.0646956847595
U/N Reef (11-233),1981,29.0725205576318
U/N Reef (11-234),1981,29.0588029225667
U/N Reef (11-235),1981,29.0646956847595
U/N Reef (11-236),1981,29.0650279898393
Ashmore Banks (No 1) (11-237a),1981,29.0787946423914
Ashmore Banks (No 2) (11-237b),1981,29.0778318706312
Ashmore Banks (No 3) (11-237c),1981,29.0787578582764
U/N Reef (11-238),1981,29.0578246320415
Star Reef (11-239),1981,29.0578246320415
Yule Detached Reef (11-240),1981,29.0526484206871
Job Reef (11-241),1981,29.0578246320415
U/N Reef (11-242),1981,29.0587474756074
Nomad Reef (12-007),1981,29.1295162836711
Tyrrel Reefs (12-008),1981,29.1957806481255
Pickard Reef (12-009),1981,29.1718031094398
Kay Reef (12-010),1981,29.1556373172336
Beesley-Baird Reef (12-011),1981,29.1556373172336
U/N Reef (11-265),1981,29.0222281056938
U/N Reef (11-266),1981,29.0588029225667
U/N Reef (11-267),1981,29.0588029225667
U/N Reef (11-268),1981,29.0541121006012
U/N Reef (11-269),1981,29.0085156205772
U/N Reef (11-270),1981,28.990034295607
U/N Reef (11-271),1981,28.9514576932217
U/N Reef (11-272),1981,29.0516362149491
U/N Reef (11-273),1981,29.0663190662351
U/N Reef (11-274),1981,29.0187163035075
U/N Reef (11-275),1981,28.961277173913
U/N Reef (11-276),1981,29.0386429720147
U/N Reef (11-277),1981,28.9284126541831
U/N Reef (11-278),1981,29.0304662462265
U/N Reef (11-279),1981,29.0306652503285
U/N Reef (11-280),1981,29.0374741395315
U/N Reef (11-281),1981,29.0265378544473
U/N Reef (11-282),1981,28.9935702347174
U/N Reef (11-283),1981,29.0265378544473
U/N Reef (11-284),1981,29.0016715185983
U/N Reef (11-285),1981,29.0168594996134
U/N Reef (11-286),1981,29.0168594996134
U/N Reef (11-287),1981,29.0058630501352
U/N Reef (11-289),1981,28.9697058836619
U/N Reef (11-290),1981,28.9714991251628
U/N Reef (11-291),1981,28.9233067830404
U/N Reef (11-292),1981,28.9345441523606
U/N Reef (11-293),1981,28.9697058836619
U/N Reef (11-294),1981,28.9345441523606
U/N Reef (11-295),1981,28.9233067830404
U/N Reef (11-296),1981,28.9345441523606
U/N Reef (11-297),1981,28.9233067830404
U/N Reef (11-298),1981,28.9233067830404
U/N Reef (11-299),1981,28.9102223714193
U/N Reef (11-300),1981,28.8928294600102
U/N Reef (11-301),1981,28.9233067830404
U/N Reef (11-302),1981,28.9233067830404
Great Detached Reef (No 6) (11-244f),1981,29.0276650905609
U/N Reef (11-304),1981,28.9233067830404
U/N Reef (11-305),1981,28.9102223714193
U/N Reef (11-306),1981,28.9233067830404
U/N Reef (11-307),1981,28.9233067830404
U/N Reef (11-308),1981,28.9102223714193
U/N Reef (11-309),1981,28.9233067830404
Great Detached Reef (No 7) (11-244g),1981,29.0276650905609
Great Detached Reef (No 8) (11-244h),1981,29.0276650905609
U/N Reef (11-312),1981,28.9072068373362
U/N Reef (11-313),1981,28.9072068373362
U/N Reef (11-314),1981,28.8577262845814
U/N Reef (11-315),1981,29.0614120424256
U/N Reef (11-316),1981,28.9945932642619
U/N Reef (11-317),1981,28.9577588970158
U/N Reef (11-318),1981,28.9466826253467
U/N Reef (11-319),1981,28.9254831075668
U/N Reef (11-320),1981,28.9254831075668
